Se ache na UFBA: o mapa do calouro perdido!;Pedro Melhado, Patrícia Brito, Tainá Santos, Sabrina Santos and Luana Lyra
Imagens a nível da rua auxiliando o acompanhamento de obras de infraestrutura;Luiz Melo
OpenStreetMap como ferramenta colaborativa de mapeamento de comunidades faxinalenses no Paraná;Jonathan Seronato and Maurielle Felix da Silva
O uso de uma dashboard de dados abertos no planejamento urbano;Jaqueline Lima Amorim, Kauê de Moraes Vestena, Ednice de Oliveira Fontes Baitz and Silvana Philippi Camboim
Mapeamento de múltiplos riscos a partir da espacialização das ocorrências da Defesa Civil de Santo André;Lucca Franco, Melissa Jorge and Vinícius Hernandes
A geovisualização de desastres a partir do uso do story map como um recurso informativo;Thaila Maria Cruz da Silva, Wallace Rafael Chaves Freire and Milena Marília Nogueira de Andrade
Requisitos cartográficos presentes na plataforma de mapeamento colaborativo Mais Lugar;Marbrisa Reis, Patrícia Brito, Murilo Arouca, Ricardo Brito, Isa Beatriz Neves, Hussein Khalil and Federico Costa
Potencialidades do mapeamento colaborativo na gestão territorial em áreas de assentamentos rurais;Nicolas dos Santos Rosa, Utaro Borges, Marianne Oliveira and Caio dos Anjos Paiva
Mapeamento de resíduos de açaí no município de Castanhal no estado do Pará;"Maria Dolores Reis do Nascimento and Tatiana Pará Monteiro de Freitas"
Mapeamento aberto: construindo oportunidades;Julia Lopes, Laura Possani, Valéria De Bortoli and Fabiane Wiederkehr
Proposta de Siglas Oficiais Para Municípios: Um Geocódigo de Três Letras Mnemônicas; Marco Aurelio Painelli Marsitch, Peter de Padua Krauss
Openstreetmap Na Olimpíada Brasileira De Cartografia - Obrac 2023; Raquel Dezidério Souto¹, Kauê de Moraes Vestena , Silvana Philippi Camboim , Angélica Carvalho Di Maio ,Marcus Vinícius Alves de Carvalho , Kellen Milene Gomes e Santos , Jaqueline Correia da Silva , Paula, Peçanha Simões , Tatiana Pará M. de Freitas , Paulo Márcio Leal de Menezes , Manoel do Couto Fernandes
